URL,VIN
https://americamotors.com/subaru/crosstrek/JF2GPABCXG8261219,JF2GPABCXG8261219
https://americamotors.com/ford/mustang/1FA6P8CF2M5119185,1FA6P8CF2M5119185
https://americamotors.com/subaru/impreza/4S3GKAA66K3617163,4S3GKAA66K3617163
https://americamotors.com/kia/sportage/KNDPC3AC6F7770378,KNDPC3AC6F7770378
https://americamotors.com/volkswagen/tiguan/WVGAV7AX8FW509006,WVGAV7AX8FW509006
https://americamotors.com/nissan/versa/3N1CE2CP5GL359136,3N1CE2CP5GL359136
https://americamotors.com/nissan/altima/1N4AL3AP8DN460997,1N4AL3AP8DN460997
https://americamotors.com/nissan/sentra/3N1AB7AP5KY455070,3N1AB7AP5KY455070
https://americamotors.com/bmw/5_series/WBAJE7C55KWD55705,WBAJE7C55KWD55705
https://americamotors.com/honda/civic/2HGFC4B60KH300471,2HGFC4B60KH300471
https://americamotors.com/toyota/camry/4T1B11HK6KU227315,4T1B11HK6KU227315
https://americamotors.com/nissan/maxima/1N4AA6AP9HC392072,1N4AA6AP9HC392072
https://americamotors.com/chevrolet/volt/1G1RC6E44FU126675,1G1RC6E44FU126675
https://americamotors.com/chevrolet/traverse/1GNERFKW8KJ141256,1GNERFKW8KJ141256
https://americamotors.com/jeep/renegade/ZACCJABB9JPJ50146,ZACCJABB9JPJ50146
https://americamotors.com/ford/mustang/1FA6P8THXM5149522,1FA6P8THXM5149522
https://americamotors.com/ram/1500/1C6RR7LT6ES388446,1C6RR7LT6ES388446
https://americamotors.com/toyota/rav4/JTMBFREV5EJ001663,JTMBFREV5EJ001663
https://americamotors.com/hyundai/tucson/KM8JFCA18NU038583,KM8JFCA18NU038583
https://americamotors.com/ford/explorer/1FMSK8JH9NGA97506,1FMSK8JH9NGA97506
https://americamotors.com/lexus/es/JTHBW1GG4H2146156,JTHBW1GG4H2146156
https://americamotors.com/toyota/tundra/5TFDY5F14JX722670,5TFDY5F14JX722670
https://americamotors.com/toyota/sienna/5TDDZ3DC2LS241038,5TDDZ3DC2LS241038
https://americamotors.com/nissan/altima/1N4BL4DV8NN350912,1N4BL4DV8NN350912
https://americamotors.com/toyota/camry/4T1B11HK2KU781368,4T1B11HK2KU781368
https://americamotors.com/nissan/altima/1N4AL3AP6FN880499,1N4AL3AP6FN880499
https://americamotors.com/hyundai/elantra/5NPDH4AE8FH627830,5NPDH4AE8FH627830
https://americamotors.com/toyota/rav4/JTMMWRFV1KJ006622,JTMMWRFV1KJ006622
https://americamotors.com/honda/hr-v/3CZRU6H53NM755706,3CZRU6H53NM755706
https://americamotors.com/volkswagen/tiguan/3VV8B7AX1NM053832,3VV8B7AX1NM053832
https://americamotors.com/toyota/camry/4T1BF1FK0HU434067,4T1BF1FK0HU434067
https://americamotors.com/honda/cr-v/5J6RT6H5XNL031385,5J6RT6H5XNL031385
https://americamotors.com/toyota/camry/4T1BF1FK4FU477999,4T1BF1FK4FU477999
https://americamotors.com/toyota/corolla/5YFBURHE9HP667622,5YFBURHE9HP667622
https://americamotors.com/toyota/highlander/5TDZZRAH9NS103332,5TDZZRAH9NS103332
https://americamotors.com/subaru/crosstrek/JF2GPBBC9GH239654,JF2GPBBC9GH239654
https://americamotors.com/kia/cadenza/KNALN4D77F5170913,KNALN4D77F5170913
https://americamotors.com/mini/cooper/WMZ83BR07N3N91975,WMZ83BR07N3N91975
